time,event,customers_in_system,customers_in_queue,server_busy,total_arrivals,rejected_arrivals,completed_customers
28.66801033714616,arrival_queue,2,1,1,194,0,192
28.672344293670875,arrival_queue,3,2,1,195,0,192
28.680521944871625,arrival_queue,4,3,1,196,0,192
28.711774575618886,departure,3,2,1,196,0,193
28.821608075329156,arrival_queue,4,3,1,197,0,193
28.898261107941156,departure,3,2,1,197,0,194
28.992725391201894,departure,2,1,1,197,0,195
29.028663071954245,arrival_queue,3,2,1,198,0,195
29.100978984738365,departure,2,1,1,198,0,196
29.106822938918118,departure,1,0,1,198,0,197
29.126168140377263,departure,0,0,0,198,0,198
29.207987455664338,arrival_service_start,1,0,1,199,0,198
29.25074602866543,departure,0,0,0,199,0,199
29.442979901279816,arrival_service_start,1,0,1,200,0,199
29.564264950441025,arrival_queue,2,1,1,201,0,199
29.591340478903124,departure,1,0,1,201,0,200
29.598057116217444,arrival_queue,2,1,1,202,0,200
29.80822555861463,departure,1,0,1,202,0,201
29.827863354809434,departure,0,0,0,202,0,202
29.905448807943372,arrival_service_start,1,0,1,203,0,202
29.987506133365635,departure,0,0,0,203,0,203
30.19585115639009,arrival_service_start,1,0,1,204,0,203
30.299523827061538,departure,0,0,0,204,0,204
30.365477364056844,arrival_service_start,1,0,1,205,0,204
30.39871897821294,arrival_queue,2,1,1,206,0,204
30.472464136216814,departure,1,0,1,206,0,205
30.5128831936218,departure,0,0,0,206,0,206
30.718994796074366,arrival_service_start,1,0,1,207,0,206
30.737696494496564,departure,0,0,0,207,0,207
31.022861710272316,arrival_service_start,1,0,1,208,0,207
31.06660213471185,departure,0,0,0,208,0,208
31.101318835761358,arrival_service_start,1,0,1,209,0,208
31.265301505085283,departure,0,0,0,209,0,209
31.513779752629155,arrival_service_start,1,0,1,210,0,209
31.516160477534118,departure,0,0,0,210,0,210
31.775652606472153,arrival_service_start,1,0,1,211,0,210
31.776182267349032,departure,0,0,0,211,0,211
31.99910285353233,arrival_service_start,1,0,1,212,0,211
32.038910723502035,arrival_queue,2,1,1,213,0,211
32.23355831479831,arrival_queue,3,2,1,214,0,211
32.352224490631585,departure,2,1,1,214,0,212
32.377570612589594,departure,1,0,1,214,0,213
32.3900454438156,arrival_queue,2,1,1,215,0,213
32.44180942125127,departure,1,0,1,215,0,214
32.44603645559133,departure,0,0,0,215,0,215
32.60993374340274,arrival_service_start,1,0,1,216,0,215
32.66723276029863,departure,0,0,0,216,0,216
32.72618833457487,arrival_service_start,1,0,1,217,0,216
32.72848902071505,departure,0,0,0,217,0,217
32.7757459450703,arrival_service_start,1,0,1,218,0,217
32.909922209346824,departure,0,0,0,218,0,218
32.93718921179016,arrival_service_start,1,0,1,219,0,218
32.999782447172464,departure,0,0,0,219,0,219
33.033754521301255,arrival_service_start,1,0,1,220,0,219
33.05365393002519,departure,0,0,0,220,0,220
33.06295008774451,arrival_service_start,1,0,1,221,0,220
33.11266978353676,departure,0,0,0,221,0,221
33.11751357151382,arrival_service_start,1,0,1,222,0,221
33.14331238837141,arrival_queue,2,1,1,223,0,221
33.15311455724648,arrival_queue,3,2,1,224,0,221
33.248161871863466,arrival_queue,4,3,1,225,0,221
33.31902154116303,arrival_queue,5,4,1,226,0,221
33.43509277533297,arrival_queue,6,5,1,227,0,221
33.56448778135237,departure,5,4,1,227,0,222
33.61462549240808,arrival_queue,6,5,1,228,0,222
33.662713108726855,departure,5,4,1,228,0,223
33.66885451349484,arrival_queue,6,5,1,229,0,223
33.708939348341325,arrival_queue,7,6,1,230,0,223
33.75752151586797,departure,6,5,1,230,0,224
33.78318259128153,arrival_queue,7,6,1,231,0,224
33.78535781058791,arrival_queue,8,7,1,232,0,224
33.79887267449902,arrival_queue,9,8,1,233,0,224
33.83589384666408,arrival_queue,10,9,1,234,0,224
33.88147505970698,departure,9,8,1,234,0,225
33.92166037830675,arrival_queue,10,9,1,235,0,225
33.94558006771757,arrival_queue,11,10,1,236,0,225
33.94656691726022,departure,10,9,1,236,0,226
33.95002996912331,arrival_queue,11,10,1,237,0,226
33.96896527220786,arrival_queue,12,11,1,238,0,226
34.11977532820299,arrival_queue,13,12,1,239,0,226
34.17529486002235,departure,12,11,1,239,0,227
34.1969665324248,arrival_queue,13,12,1,240,0,227
34.20327598042468,departure,12,11,1,240,0,228
34.20905253967453,departure,11,10,1,240,0,229
34.26346324940379,arrival_queue,12,11,1,241,0,229
34.30592636736805,departure,11,10,1,241,0,230
34.32615521816914,departure,10,9,1,241,0,231
34.339632231822236,departure,9,8,1,241,0,232
34.54266034401745,departure,8,7,1,241,0,233
34.58303672832089,arrival_queue,9,8,1,242,0,233
34.60820910819785,arrival_queue,10,9,1,243,0,233
34.625762386548494,departure,9,8,1,243,0,234
34.62613130376295,departure,8,7,1,243,0,235
34.634446563255366,arrival_queue,9,8,1,244,0,235
34.6695583211732,arrival_queue,10,9,1,245,0,235
34.78346261372093,departure,9,8,1,245,0,236
34.851006376664635,departure,8,7,1,245,0,237
34.93764166795833,departure,7,6,1,245,0,238
34.951703252411846,departure,6,5,1,245,0,239
35.01815140824337,arrival_queue,7,6,1,246,0,239
35.09733102022866,arrival_queue,8,7,1,247,0,239
35.1140517492484,departure,7,6,1,247,0,240
35.2052527883489,departure,6,5,1,247,0,241
35.23763068927598,arrival_queue,7,6,1,248,0,241
35.37077370577022,arrival_queue,8,7,1,249,0,241
35.410767887387394,departure,7,6,1,249,0,242
35.424764942390404,arrival_queue,8,7,1,250,0,242
35.48454622503176,departure,7,6,1,250,0,243
35.54821125086471,departure,6,5,1,250,0,244
35.67381320948916,arrival_queue,7,6,1,251,0,244
35.730619778663154,departure,6,5,1,251,0,245
35.89053672617485,departure,5,4,1,251,0,246
36.0698369192053,departure,4,3,1,251,0,247
36.0909082849272,departure,3,2,1,251,0,248
36.09666784728913,departure,2,1,1,251,0,249
36.20628872912127,arrival_queue,3,2,1,252,0,249
36.24584698539157,departure,2,1,1,252,0,250
36.303260308821564,arrival_queue,3,2,1,253,0,250
36.35848322932366,departure,2,1,1,253,0,251
36.41495162757161,departure,1,0,1,253,0,252
36.51084837461872,departure,0,0,0,253,0,253
36.634510397279996,arrival_service_start,1,0,1,254,0,253
36.726374218244814,arrival_queue,2,1,1,255,0,253
36.74348374122019,departure,1,0,1,255,0,254
36.75048478599513,departure,0,0,0,255,0,255
36.755247327921246,arrival_service_start,1,0,1,256,0,255
36.82492346842937,departure,0,0,0,256,0,256
36.86279130038168,arrival_service_start,1,0,1,257,0,256
37.02232681505725,departure,0,0,0,257,0,257
37.09561618234285,arrival_service_start,1,0,1,258,0,257
37.10773907387018,arrival_queue,2,1,1,259,0,257
37.16662329174525,departure,1,0,1,259,0,258
37.30182618303623,arrival_queue,2,1,1,260,0,258
37.33859260520556,departure,1,0,1,260,0,259
37.45382066937034,departure,0,0,0,260,0,260
37.614871066687265,arrival_service_start,1,0,1,261,0,260
37.65516192919422,departure,0,0,0,261,0,261
37.694097923070395,arrival_service_start,1,0,1,262,0,261
37.722932774413046,arrival_queue,2,1,1,263,0,261
37.77732780817549,departure,1,0,1,263,0,262
37.858384996395024,arrival_queue,2,1,1,264,0,262
37.861957612572134,departure,1,0,1,264,0,263
37.93162324044439,departure,0,0,0,264,0,264
38.13604697067985,arrival_service_start,1,0,1,265,0,264
38.21940429889348,arrival_queue,2,1,1,266,0,264
38.25904431044851,departure,1,0,1,266,0,265
38.29495701511776,arrival_queue,2,1,1,267,0,265
38.41940485881849,arrival_queue,3,2,1,268,0,265
38.47530558396013,departure,2,1,1,268,0,266
38.55735283990604,arrival_queue,3,2,1,269,0,266
38.6179990525228,arrival_queue,4,3,1,270,0,266
38.63267115939149,departure,3,2,1,270,0,267
38.67393058927541,departure,2,1,1,270,0,268
38.68213997808334,departure,1,0,1,270,0,269
38.71466149605957,arrival_queue,2,1,1,271,0,269
